THRESH TP FP TN FN ESPECIFICIDADE SENSITIVIDADE PRECISAO
0.000000 100.000000 1090.000000 0.000000 0.000000 0.000000 1.000000 0.084034
0.001000 99.000000 1079.000000 11.000000 1.000000 0.010092 0.990000 0.084041
0.002000 99.000000 1076.000000 14.000000 1.000000 0.012844 0.990000 0.084255
0.003000 99.000000 1073.000000 17.000000 1.000000 0.015596 0.990000 0.084471
0.004000 99.000000 1072.000000 18.000000 1.000000 0.016514 0.990000 0.084543
0.005000 96.000000 1068.000000 22.000000 4.000000 0.020183 0.960000 0.082474
0.006000 96.000000 1068.000000 22.000000 4.000000 0.020183 0.960000 0.082474
0.007000 96.000000 1065.000000 25.000000 4.000000 0.022936 0.960000 0.082687
0.008000 96.000000 1063.000000 27.000000 4.000000 0.024771 0.960000 0.082830
0.009000 96.000000 1060.000000 30.000000 4.000000 0.027523 0.960000 0.083045
0.010000 96.000000 1058.000000 32.000000 4.000000 0.029358 0.960000 0.083189
0.011000 96.000000 1055.000000 35.000000 4.000000 0.032110 0.960000 0.083406
0.012000 96.000000 1051.000000 39.000000 4.000000 0.035780 0.960000 0.083697
0.013000 96.000000 1050.000000 40.000000 4.000000 0.036697 0.960000 0.083770
0.014000 96.000000 1045.000000 45.000000 4.000000 0.041284 0.960000 0.084137
0.015000 96.000000 1037.000000 53.000000 4.000000 0.048624 0.960000 0.084731
0.016000 94.000000 1031.000000 59.000000 6.000000 0.054128 0.940000 0.083556
0.017000 93.000000 1031.000000 59.000000 7.000000 0.054128 0.930000 0.082740
0.018000 93.000000 1029.000000 61.000000 7.000000 0.055963 0.930000 0.082888
0.019000 93.000000 1028.000000 62.000000 7.000000 0.056881 0.930000 0.082962
0.020000 93.000000 1027.000000 63.000000 7.000000 0.057798 0.930000 0.083036
0.021000 93.000000 1027.000000 63.000000 7.000000 0.057798 0.930000 0.083036
0.022000 93.000000 1025.000000 65.000000 7.000000 0.059633 0.930000 0.083184
0.023000 92.000000 1024.000000 66.000000 8.000000 0.060550 0.920000 0.082437
0.024000 90.000000 1021.000000 69.000000 10.000000 0.063303 0.900000 0.081008
0.025000 90.000000 1020.000000 70.000000 10.000000 0.064220 0.900000 0.081081
0.026000 90.000000 1017.000000 73.000000 10.000000 0.066972 0.900000 0.081301
0.027000 90.000000 1012.000000 78.000000 10.000000 0.071560 0.900000 0.081670
0.028000 90.000000 1011.000000 79.000000 10.000000 0.072477 0.900000 0.081744
